"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Universités et assimilés";"HCBvW";"Université d'Orléans";"Universités et assimilés";TRUE;2021;1164;842;594;248;69;19377;12646;6308;423;820;931;305;256;370;581;181045405;143027588;149766289;5546251;7560236;7765089;106;57;6;9;1;0,827230544735449;9551,8310119236;286,228569954069;12727,67003367;4,80637332489184;0,679236276849642;0,444391408114558;7901,56637121452
"Universités et assimilés";"HCBvW";"Université d'Orléans";"Universités et assimilés";TRUE;2022;NA;NA;NA;NA;NA;17911;11796;5685;430;621;NA;NA;NA;NA;NA;187711803;152464967;150747407;4787026;6672002;13498142;106;57;6;9;1;0,803078999779252;10738,0471940964;267,267377589191;NA;NA;NA;NA;8623,50020021738
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2006;NA;NA;NA;NA;NA;9814;7207;2393;214;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2007;NA;NA;NA;NA;NA;9338;6978;2147;213;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2008;NA;NA;NA;NA;NA;8471;6584;1687;200;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2009;NA;NA;NA;NA;NA;9219;7066;1931;222;66;NA;NA;NA;NA;NA;32132064,48;17074261,43;0;NA;1117832,69;3578336,19;NA;NA;NA;NA;NA;0;3571,41985995332;NA;NA;NA;NA;NA;0
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2010;NA;388;NA;NA;NA;9443;7110;2113;220;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2011;NA;402;NA;NA;NA;9539;7321;1991;227;164;NA;NA;NA;NA;NA;79106912,71;65857321,98;64077498,79;3495240,56;1165316,47;1232236,5;NA;NA;NA;NA;NA;0,810011370623239;8495,15815184708;366,415825558235;NA;NA;NA;NA;6881,17469823883
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2012;580;401;342;116;60;9270;7007;2020;243;89;NA;NA;NA;NA;NA;79796057,34;66900881,5495837;65571614;2984722,81;1308596,57;1223454,32;NA;NA;NA;NA;NA;0,821740023076684;8839,70946493852;321,976570658037;3826,30576023392;5,10690151766921;NA;NA;7263,94305970976
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2013;539;396;321;99;42;8780;6556;1980;244;107;NA;NA;NA;NA;NA;80165326,07;65768880,1988964;65761351;2886302,12;1545263,93;1664341,69;NA;NA;NA;NA;NA;0,820321630608444;9391,43932403936;328,736004555809;4813,90632398754;5,13120899718838;NA;NA;7704,00082005623
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2014;519;387;299;99;31;9044;6785;2028;231;143;NA;NA;NA;NA;NA;82455691;65266765;66372648;NA;NA;1888906,84;NA;NA;NA;NA;NA;0,804949266630972;9356,14331101781;NA;NA;4,74299330534438;NA;NA;7531,22069669806
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2015;508;371;263;90;0;9691;7216;2244;231;221;500;204;113;183;280;84030767;64681992;66270752;NA;NA;6736868;NA;NA;NA;NA;NA;0,788648662459549;8882,74492600423;NA;NA;3,92177589852008;0,645833333333333;0,496031746031746;7005,36490486258
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2016;522;367;266;100;6;8493;7415;1072;6;304;464;158;111;195;282;84690848;65822291;68634101;NA;NA;4104813;18;11;1;3;14;0,810407530693281;9978,89100977966;NA;NA;4,39495699304819;0,658215010141988;0,470588235294118;8086,96842229292
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2017;530;360;255;110;8;8877;7792;1078;7;267;481;210;103;168;286;87353893;68115966;71139783;3349893;NA;6360878;18;11;1;5;14;0,814385948431629;9848,2404735062;377,367691787766;NA;4,14881623449831;0,638971315529179;0,475766567754698;8020,2686583991
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2018;527;373;305;105;48;9238;8187;1039;12;273;483;187;122;174;295;88435245;69946674;71541726;3636734;NA;5670951;18;12;1;5;14;0,808973006180963;9585,43735096466;393,671140939597;NA;4,56319098200737;0,661386138613861;0,478217821782178;7754,36006936917
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2019;555;384;318;116;54;9461;8470;977;14;292;615;213;121;281;295;88293430;70906672;72403682;11915936;1485326;4835510;18;13;1;5;15;0,820034763628506;9346,18714935958;1259,47954761653;4670,83647798742;4,63639250555732;0,58034188034188;0,525641025641026;7664,19836985286
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2020;538;382;311;103;52;7116;6743;358;15;338;470;181;127;162;308;95284958;71795083;76899968;13287831;904717;6053774;18;13;1;5;15;0,807052546531007;13418,5266863822;1867,31745362563;2909,05787781351;6,11181523729052;0,68452380952381;0,466269841269841;10829,456132939
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2021;541;382;320;101;57;6958;6511;441;6;401;468;179;121;168;310;99570589;75861828;76617171;16341937;1855000;16549729;18;10;2;6;15;0,769475924261129;14322,5818469505;2348,65435469963;5796,875;6,31472957422324;0,685827552031715;0,46382556987116;11020,8819044879
"Universités et assimilés";"RN4E6";"Université d'Évry-Val-d'Essonne";"Universités et assimilés";FALSE;2022;NA;NA;NA;NA;NA;6328;5893;434;1;371;NA;NA;NA;NA;NA;97596025;78057584;76502868;15787547;358093;20040959;18;10;2;6;15;0,783872785802496;15425,3240082187;2494,87152338812;NA;NA;NA;NA;12091,4917022285
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2006;NA;NA;NA;NA;NA;43815;23061;19032;1722;2918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2007;NA;NA;NA;NA;NA;43440;22455;19212;1773;3054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2008;NA;NA;NA;NA;NA;42728;22036;18895;1797;3012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2009;NA;NA;NA;NA;NA;43167;22349;19080;1738;3205;NA;NA;NA;NA;NA;341483334,97;235169707,57;142318819,89;17628899,7;17514145,06;34987140,28;NA;NA;NA;NA;NA;0,416766516300138;8242,61592049048;408,388345263743;NA;NA;NA;NA;3435,24632238287
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2010;NA;1863;NA;NA;NA;42545;22767;17924;1854;3211;NA;NA;NA;NA;NA;402539688,08;307162387,73;303021146,12;21912137,57;10009349,38;33644547,19;NA;NA;NA;NA;NA;0,752773341593533;9892,59757882578;515,034377012575;NA;NA;NA;NA;7446,88373645278
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2011;NA;1875;NA;NA;NA;43814;23557;18439;1818;4298;NA;NA;NA;NA;NA;411828862,2;316279614,42;316433720,79;21973169,56;8953098,01;36472232,45;NA;NA;NA;NA;NA;0,768362176219518;9806,38304124202;501,510237823527;NA;NA;NA;NA;7534,8538144109
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2012;2558;1892;1696;524;130;44803;23358;19665;1780;4564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,69981172861028;NA;NA;NA
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2013;2562;1884;1683;544;122;46145;24020;20365;1760;4100;NA;NA;NA;NA;NA;440572189;330020205;321864446;NA;NA;23893337;NA;NA;NA;NA;NA;0,730560062655249;9926,15047876535;NA;NA;4,5195448912921;NA;NA;7251,64911569224
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2014;2523;1881;1628;557;73;46553;24854;19964;1735;3780;NA;NA;NA;NA;NA;466101626;339133343;324655279;20257866,94;40752219,68;26370078;NA;NA;NA;NA;NA;0,69653324702197;10399,8756303271;435,157066998904;25032,075970516;4,35985541523495;NA;NA;7243,85914141639
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2015;2612;1870;1597;567;64;48265;25650;20791;1824;4055;3092;1115;593;1384;1581;465609214;344702659;325172044;NA;NA;26769079;NA;NA;NA;NA;NA;0,698379744692939;10025,822312181;NA;NA;4,16442367735406;0,605014025245442;0,542075736325386;7001,83122671777
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2016;2663;1887;1608;627;62;48892;26290;20800;1802;4291;3067;1170;610;1287;1640;453483458;350529849;329283741;NA;NA;35017559;298;138;150;178;36;0,726120733162443;9630,14351242302;NA;NA;4,13888299001911;0,615532286212914;0,535253054101222;6992,64686770015
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2017;2710;1872;1579;667;63;49129;26224;21025;1880;4148;3336;1167;608;1561;1671;459955942;350737525;336818433;26119504;58284003;46363954;299;138;141;178;37;0,732284121682246;9734,7233168956;531,651448228134;36911,97150095;4,09532476877818;0,586007277538869;0,551769765133973;7128,58331393257
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2018;2676;1865;1664;644;153;49286;26150;21279;1857;4495;3015;1149;611;1255;1783;474069718;353309571;336991828;22443744;59771559;71169646;296;150;98;144;37;0,710848668887136;9995,35554196799;455,377673172909;35920,4080528846;4,2547808302937;0,641012124406958;0,529783869267264;7105,18518206161
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2019;2627;1841;1642;624;148;48598;26015;20691;1892;4620;3168;1206;608;1354;1848;475749958;358206097;341554130;22743607;58319984;72613079;293;150;143;172;33;0,717927819554321;10186,0565666081;467,994711716532;35517,6516443362;4,25855350490301;0,636583261432269;0,546678170836928;7312,85338072196
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2020;2654;1827;1614;680;134;46799;25314;19431;2054;4264;3216;1278;643;1295;1826;486323496;367347857;346957910;29234555;68771870;66779642;283;160;135;166;33;0,713430284273166;10868,7785450888;624,683326566807;42609,58488228;4,38261258241144;0,622316865417377;0,547870528109029;7754,11576712482
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2021;2645;1813;1604;700;117;46833;23972;20742;2119;4717;3314;1396;653;1265;1801;514597690;381011745;357699430;34777404;73375170;101939489;286;157;83;133;157;0,69510500523234;11508,6480744286;742,583306642752;45745,1184538653;4,3163215100416;0,606477596912234;0,556133579459641;7999,71887999284
"Universités et assimilés";"90I54";"Université de Bordeaux";"Universités et assimilés";TRUE;2022;NA;NA;NA;NA;NA;45065;22803;20080;2182;5061;NA;NA;NA;NA;NA;567891278;415665842;359850709;35320232;76007269;132582565;284;156;82;131;157;0,633661270987155;13242,8066599818;783,76194385887;NA;NA;NA;NA;8391,45369960124
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2006;NA;NA;NA;NA;NA;27276;16350;9791;1135;1384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2007;NA;NA;NA;NA;NA;26419;15809;9511;1099;1178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2008;NA;NA;NA;NA;NA;26336;15279;9905;1152;1598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2009;NA;NA;NA;NA;NA;26499;15361;9987;1151;1587;NA;NA;NA;NA;NA;208912000,1;166616709,8;176168452,94;10318816,22;2253901,19;NA;NA;NA;NA;NA;NA;0,84326631718462;8241,75477749724;389,403985810785;NA;NA;NA;NA;6949,99419835885
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2010;NA;1196;NA;NA;NA;25721;15008;9581;1132;1536;NA;NA;NA;NA;NA;212687555,27;171931699,23;178549825,49;10237308,7;1964721,8;15922730,22;NA;NA;NA;NA;NA;0,839493524965938;8649,70333360446;398,013634773143;NA;NA;NA;NA;7261,36994143723
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2011;NA;1200;NA;NA;NA;26130;15269;9686;1175;1668;NA;NA;NA;NA;NA;219418805,94;175748649,99;182108341,61;11135245,63;2339384,04;12272344,47;NA;NA;NA;NA;NA;0,829957764239212;8792,57887958325;426,147938384998;NA;NA;NA;NA;7297,46910879583
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2012;1469;1193;969;194;59;25805;15182;9462;1161;1559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,08034409998377;NA;NA;NA
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2013;1467;1205;967;192;49;26438;15492;9859;1087;1651;NA;NA;NA;NA;NA;222157703,7;182605640,006989;187125943,59;12655904,93;3120790,14;15584367,87;NA;NA;NA;NA;NA;0,842311297215663;8763,27181176285;478,701298509721;3227,29073422958;4,94655043193562;NA;NA;7381,40284761942
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2014;1477;1207;979;195;54;26992;15800;10133;1059;2134;NA;NA;NA;NA;NA;222733568;184614194;187984008;12957755,27;3053827,09;42428048;NA;NA;NA;NA;NA;0,8439859770037;8588,80839085335;480,059101585655;3119,33308478039;4,86253036671423;NA;NA;7248,83384105194
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2015;1483;1212;932;187;13;27227;16206;10021;1000;2104;1400;519;286;595;872;222147047;187394410;189465619;NA;NA;11252946;NA;NA;NA;NA;NA;0,852883806283502;8470,16612651085;NA;NA;4,67075914134289;0,722858133888311;0,485605272285813;7224,06752583216
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2016;1493;1232;930;180;14;28097;16891;10259;947;2237;1401;549;278;574;891;227899432;189343905;194344023;NA;NA;7532123;102;90;24;21;4;0,852762208727225;8394,085893186;NA;NA;4,58931860036832;0,733586731167934;0,484105044920525;7158,15922651934
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2017;1414;1211;912;151;7;27533;16961;10572;0;2220;1503;566;278;659;865;231100335;187551215;196470325;15303457;2925353;19385709;102;90;24;21;4;0,850151623536158;8393,57625394981;555,822358624196;3207,62390350877;4,42378237024661;0,71169009256085;0,515255399382928;7135,81247956997
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2018;1419;1186;926;164;52;28511;17829;10682;0;2356;1416;545;273;598;846;233131320;188292208;197192039;15534529;3371593;12718985;102;90;24;21;4;0,845841043580073;8176,89032303322;544,860895794606;3641,02915766739;4,34218371856476;0,716754850088183;0,499470899470899;6916,34944407422
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2019;1420;1157;900;186;58;29182;18395;10787;0;2375;1424;541;273;610;833;235361449;188688657;199444660;12582184;2961328;12627974;102;90;24;21;4;0,847397315267208;8065,29535329998;431,162497429923;3290,36444444444;4,16352546090055;0,69971870604782;0,50070323488045;6834,50962922349
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2020;1454;1155;904;213;66;29580;18596;10983;1;1999;1368;481;274;613;808;240079329;191521256;202918971;19158792;4102113;22087358;102;90;24;21;4;0,845216336805073;8116,54650258629;647,694117647059;4537,73561946903;4,12792859799182;0,695605953224663;0,484762579730687;6860,23770242402
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2021;1481;1162;918;225;74;29112;18151;10961;0;2413;1290;442;288;560;791;251942091;203004081;208135636;25346828;2692247;26403693;102;90;24;21;4;0,826124905028275;8654,23505770816;870,665979664743;2932,73093681917;4,24567188788129;0,704799711295561;0,46553590761458;7149,47911514152
"Universités et assimilés";"Lr94O";"Université de Bourgogne";"Universités et assimilés";TRUE;2022;NA;NA;NA;NA;NA;28183;17176;11007;0;2813;NA;NA;NA;NA;NA;276912684;219277211;209711209;25578016;6349011;45986675;102;90;24;21;4;0,757318899122729;9825,5219103715;907,568960011354;NA;NA;NA;NA;7441,05343646879
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2006;NA;NA;NA;NA;NA;18729;10766;7395;568;612;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2007;NA;NA;NA;NA;NA;18027;10353;7102;572;686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2008;NA;NA;NA;NA;NA;17359;10006;6771;582;614;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2009;NA;NA;NA;NA;NA;17593;9962;7074;557;723;NA;NA;NA;NA;NA;157153250,81;127925089,96;133794191,14;8595733,96;2242106,4;8355644,39;NA;NA;NA;NA;NA;0,851361269654922;9224,77405552947;488,588299892002;NA;NA;NA;NA;7853,61535219535
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2010;NA;902;NA;NA;NA;16544;9999;5982;563;673;NA;NA;NA;NA;NA;163350881,1;131558544,18;135761417,05;9960370,15;2222272,58;7483904,91;NA;NA;NA;NA;NA;0,8311030594741;10221,5681809649;602,053321445841;NA;NA;NA;NA;8495,17658782304
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2011;NA;939;NA;NA;NA;16380;10101;5739;540;747;NA;NA;NA;NA;NA;162781816,3;134052687,51;137995015,56;9615223,93;2923286,99;8336587,47;NA;NA;NA;NA;NA;0,8477299166246;10276,6298169192;587,010007936508;NA;NA;NA;NA;8711,80653787879
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2012;1129;942;697;172;5;17142;10478;6108;556;637;NA;NA;NA;NA;NA;167590748,8;138693443,896387;140320364,62;9721190,25;4491423,88;11114782,32;NA;NA;NA;NA;NA;0,837279895368544;10104,3499819125;567,097786139307;6443,93670014347;5,70963463161703;NA;NA;8460,16909562281
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2013;1155;941;737;163;41;17370;11151;5644;575;742;NA;NA;NA;NA;NA;173281168,1;140238587,823554;139975677,54;10632170,6;3950340,21;12119300,9;NA;NA;NA;NA;NA;0,807795094382215;10317,4259065198;612,099631548647;5360,027421981;5,84697826734147;NA;NA;8334,36603393867
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2014;1161;945;743;166;42;17788;11811;5383;594;679;NA;NA;NA;NA;NA;175575088;142656955;140621723;11521319,66;3333049,68;12729132;NA;NA;NA;NA;NA;0,800920703511195;10211,4160753751;647,701802338655;4485,93496635262;5,74037454926137;NA;NA;8178,53454693498
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2015;1206;981;732;165;29;18861;12549;5699;613;767;1107;412;259;436;633;178312485;146411431;141386393;NA;NA;14020094;NA;NA;NA;NA;NA;0,792913592113306;9771,61798553266;NA;NA;5,53485313459009;0,697795071335927;0,478599221789883;7748,04871766769
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2016;1237;986;747;181;41;19158;12620;5929;609;729;937;248;240;449;643;173904604;147380376;147011627;NA;NA;11613805;71;50;17;16;0;0,845357877931742;9375,41668014448;NA;NA;5,53668661383363;0,749310027598896;0,431002759889604;7925,5823494528
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2017;1236;979;743;186;41;22404;13129;8695;580;953;1009;253;267;489;634;181955200;152248197;148890892;11954128;7881229;7817010;71;51;17;16;0;0,8182832477445;8337,39002932551;533,571148009284;10607,3068640646;4,67375366568915;0,718485523385301;0,449443207126949;6822,34659090909
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2018;1233;999;770;163;63;22806;13471;8808;527;935;982;262;259;461;639;181996778;153408180;150100216;13031974;5856543;8453408;71;51;17;16;0;0,824741062174189;8168,98325777638;571,427431377708;7605,9;4,76682077292518;0,739503386004515;0,44334085778781;6737,29592890166
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2019;1233;982;781;162;81;23143;13856;8776;511;857;968;270;259;439;622;184531427;154927942;154180078;6319315;11939602;8233102;72;51;17;16;0;0,835522059881973;8153,56252209261;273,055135462127;15287,5825864277;4,69688936019795;0,728759654702408;0,439800090867787;6812,48135383528
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2020;1263;952;772;204;99;23872;14188;9161;523;726;972;277;255;440;611;195775975;158463199;159319500;13551975;6948049;10220099;72;51;17;16;0;0,813784735333332;8384,76915499593;567,69332272118;9000,06347150259;4,50126343740631;0,699328859060403;0,43489932885906;6823,39714762945
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2021;1308;955;793;220;125;24111;14675;8920;516;927;1003;291;267;445;602;200739640;165524708;160885603;14801565;7465628;18203622;71;50;18;17;0;0,80146404068474;8507,71943208307;613,892621624984;9414,41109709962;4,5772409408773;0,673734314149719;0,434011250540891;6818,63119304937
"Universités et assimilés";"06SE7";"Université de Bretagne Occidentale";"Universités et assimilés";TRUE;2022;NA;NA;NA;NA;NA;23415;14277;8656;482;936;NA;NA;NA;NA;NA;201500000;1,7e+08;162600000;1,3e+07;7462990;20500000;71;50;18;17;0;0,806947890818859;8786,46491954825;555,199658338672;NA;NA;NA;NA;7090,21933458335
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2006;NA;NA;NA;NA;NA;25645;16842;7943;860;1489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2007;NA;NA;NA;NA;NA;24670;15928;7894;848;1302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2008;NA;NA;NA;NA;NA;24317;15496;7946;875;1234;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2009;NA;NA;NA;NA;NA;24244;15424;7986;834;1295;NA;NA;NA;NA;NA;61261190,27;25179373,78;31805749,57;9727067,17;6763136,14;14012410,33;NA;NA;NA;NA;NA;0,519182690212526;2616,88125886373;401,215441758786;NA;NA;NA;NA;1358,63945194361
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2010;NA;1168;NA;NA;NA;23915;15089;8051;775;1329;NA;NA;NA;NA;NA;205685717,77;166633205,97;173939132,01;12513283,59;6635639,17;11801982,08;NA;NA;NA;NA;NA;0,845654885014917;8888,75184831461;523,239957767092;NA;NA;NA;NA;7516,81642221262
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2011;NA;1189;NA;NA;NA;23434;14519;8131;784;1202;NA;NA;NA;NA;NA;208430708,3;171829549,34;177939789,9;11663828,72;6263497,94;4450787,92;NA;NA;NA;NA;NA;0,853711966683366;9202,23877704194;497,731019885636;NA;NA;NA;NA;7856,06136423841
"Universités et assimilés";"p25Q3";"Université de Caen Normandie";"Universités et assimilés";TRUE;2012;1567;1203;1018;270;76;23776;14698;8352;726;1221;NA;NA;NA;NA;NA;212307161,1;175707587,430442;179614486,38;12231068,53;6540151,67;5387059,34;NA;NA;NA;NA;NA;0,846012378712929;9210,72282429501;514,429194565949;6424,51048133595;5,54880694143167;NA;NA;7792,38552624729
