"Groupe";"pid";"Etablissement";"Groupe.détaillé";"Comparable";"Rentrée";"kpi.ENS.P.effectif";"kpi.ENS.S.titulaires";"kpi.ENS.S.EC";"kpi.ENS.S.DocATER";"kpi.ENS.S.contractuels";"kpi.ETU.P.effectif";"kpi.ETU.S.cycle1_L";"kpi.ETU.S.cycle2_M";"kpi.ETU.S.cycle3_D";"kpi.ETU.S.DU_DE";"kpi.BIA.P.effectif";"kpi.BIA.S.A";"kpi.BIA.S.B";"kpi.BIA.S.C";"kpi.BIA.S.titulaires";"kpi.FIN.P.ressources";"kpi.FIN.S.masseSalariale";"kpi.FIN.S.SCSP";"kpi.FIN.S.recettesFormation";"kpi.FIN.S.recettesRecherche";"kpi.FIN.S.investissements";"kpi.IMO.P.batiments";"kpi.IMO.S.état_satisfaisant";"kpi.IMO.S.énergie_ABC";"kpi.IMO.S.GES_ABC";"kpi.IMO.S.propriété_propre";"kpi.K.dotPres";"kpi.K.resPetu";"kpi.K.forPetu";"kpi.K.recPect";"kpi.K.ensPetu";"kpi.K.titPper";"kpi.K.biaPper";"kpi.K.dotPetu"
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2021;3999;2804;2608;966;200;66934;37557;26743;2634;3145;3994;1536;927;1531;2339;802978597;552954697;536984075;42080067;88178332;126687654;292;156;114;184;214;0,668740209273598;12488,0030637636;628,679998207189;33810,7101226994;4,67185069984448;0,643438008257225;0,499687226323033;8351,22978227061
"Universités et assimilés";"xJdyB";"Aix-Marseille Université";"Universités et assimilés";TRUE;2022;NA;NA;NA;NA;NA;63950;36009;25481;2460;3070;NA;NA;NA;NA;NA;757997392;586255828;543899679;49576003;94609827;128982826;291;155;114;184;2;0,71754821947989;12327,1652626443;775,230695856138;NA;NA;NA;NA;8845,33548544479
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2006;NA;NA;NA;NA;NA;6553;5046;1283;224;236;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2007;NA;NA;NA;NA;NA;6197;4833;1163;201;213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2008;NA;NA;NA;NA;NA;6179;4845;1144;190;211;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2009;NA;NA;NA;NA;NA;6381;4890;1285;206;202;NA;NA;NA;NA;NA;51917380,74;39505307,57;41641237,51;NA;591031,51;1671654,52;NA;NA;NA;NA;NA;0,802067379295144;8407,67299433198;NA;NA;NA;NA;NA;6743,52024453441
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2010;NA;280;NA;NA;NA;6601;5143;1264;194;242;NA;NA;NA;NA;NA;49815240,82;41287115,01;43122914,38;2271485,32;549004,89;1990164,75;NA;NA;NA;NA;NA;0,865657049331915;7775,12733260496;344,112304196334;NA;NA;NA;NA;6730,59378492274
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2011;NA;277;NA;NA;NA;6581;5226;1184;171;262;NA;NA;NA;NA;NA;51542541,55;43406603,1;44203806,16;2668271,14;625037,08;1775283,82;NA;NA;NA;NA;NA;0,857617898355266;8040,9581201248;405,450712657651;NA;NA;NA;NA;6896,06960374415
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2012;380;281;257;69;25;6755;5381;1198;176;243;NA;NA;NA;NA;NA;52344073,26;42457522,1183235;45707186,19;2399932,04;1158665,25;1061941,84;NA;NA;NA;NA;NA;0,87320652259839;7956,23548563611;355,282315321984;4508,42509727626;4,65116279069767;NA;NA;6947,43672138623
"Universités et assimilés";"vxHYt";"Avignon Université";"Universités et assimilés";TRUE;2013;363;272;244;70;17;6478;5178;1124;176;230;NA;NA;NA;NA;NA;52466770,11;42891458,0518022;46453032;2583912,75;1043865,12;5935787,56;NA;NA;NA;NA;NA;0,88538005870398;8325,41575848937;398,875077184316;4278,13573770492;4,58584576324976;NA;NA;7371,15709298635
