uai - identifiant;exercice;Acquisitions d'immobilisations;Besoin en fonds de roulement;CAF / Acquisitions d'immobilisations;CAF / Produits encaissables;Capacité d'autofinancement CAF;Charges décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Produits encaissables;Ressources propres / Produits encaissables;Ressources propres encaissables;Résultat net comptable;Solde budgétaire;Trésorerie;Trésorerie en jours de charges décaissables;source;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0660437S;2010;4136964.18;2640127.04;21.3949981553865;4.37122776498198;885103.409999999;19964492.73;98.5979083903394;8739179.33;43.1598645975759;10642827.99;52.5613444510573;2119242.56;225.957885141818;12530929.32;20248393.76;40.5268569806793;7470980.6;725219.969999999;;9890802.28;178.351079035906;COFISUP Comptes financiers;2012;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0660437S;Université de Perpignan - Via Domitia;66136;Perpignan;A11;Montpellier;R76;Occitanie
0670190T;2010;1671950.04;;9.89834361318599;2.5600402222522;165495.360000001;6261993.16;96.8664883478792;2463091.17;38.1014456615231;2892073.37;44.7373518683813;1184473.49;187.851161306602;3267563.02;6464560.93;56.1066400220316;2825213.5;693684.52;;3472769.32;199.648406386953;COFISUP Comptes financiers;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0670190T;Institut national des sciences appliquées de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est
0671451N;2010;521598.05;;65.8218450011461;10.5771403467558;343325.46;2900436.07;89.356377412799;2139565.55;65.9155458597034;753898.67;23.2260434161292;336549.61;137.340929565809;1106523.85;3245919.49;13.8741423312382;247103.49;61960.9400000003;;1282040.02;159.12586799405;COFISUP Comptes financiers;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0671451N;BNU DE STRASBOURG;;;;;;
0673021V;2010;28546600.34;;23.295037100029;1.6448072459135;6649941.14;397653976.04;98.3563805133026;63102227.37;15.6078074416546;311095581.27;76.9468865170389;9415269.64;48.5373661709811;53614101.79;404299115.08;21.1312696969656;57073677.02;1441304.52;;61697397.8100002;55.8552524302331;COFISUP Comptes financiers;2009;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0673021V;Université de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est
0690173N;2010;106603.4;;304.187549365217;8.58499633975596;324274.27;3452946.56;91.415003660244;1862795.07;49.3165518734048;1553931.29;41.1395404170743;1039828.8;334.239540156683;3205864.64;3777220.83;62.1443721626411;1777880.02;219957.209999999;;3211833.98;334.861896269834;COFISUP Comptes financiers;;A;institut d'études politiques;GR20;instituts d'études politiques;0690173N;Institut d'études politiques de Lyon;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0692437Z;2010;2503871.73;;184.062227900149;4.9324237922927;4608682.09;88825595.87;95.0652429214887;12353295.49;13.2210656752196;74010915.2;79.2098894853122;6721400.92;61.3093596351463;15127334.45;93436458.1;19.5669200992541;17477254.28;3962891.75;;20662105.38;83.7411543817431;COFISUP Comptes financiers;2010;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0692437Z;Université Jean Moulin - Lyon 3;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0694123G;2010;4972243.89;;52.8407247939729;2.70569639295073;2627369.71000003;94397832.24;97.2120037853876;15995997.21;16.4728670609308;76775330.66;79.0641432927073;3828582.69000003;27.2739511586903;7151671.84999999;97105119.29;14.0263140600484;13369727.02;959007.650000033;;12891471.07;49.1635186431057;COFISUP Comptes financiers;2010;A;école normale supérieure;GR30;écoles normales supérieures;0694123G;École normale supérieure de Lyon;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0753471R;2010;;6986847.90999997;;4.63597734806446;3271584.47;67288791.78;95.3511417269647;28980076.22;41.0660272210858;33577071.47;47.5801692350195;5608782.6;90.9825572320595;17005850.97;70569466.25;60.3600249420903;41413298.37;817495.059999994;;10019003.06;53.6024054851888;COFISUP Comptes financiers;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753471R;Conservatoire national des arts et métiers;75103;Paris 3e;A01;Paris;R11;Île-de-France
0753486G;2010;287220.42;;188.28724294742;8.90753159762511;540799.41;5530460.67;91.0924684023749;2919864.96;48.0932281194582;2179781.35;35.9032774296831;816673.78;137.096453558181;2106129.29;6071260.08;33.6272545253901;2018850.25;332121.41;;3028089.02;197.110532421524;COFISUP Comptes financiers;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753486G;École pratique des hautes études;75114;Paris 14e;A01;Paris;R11;Île-de-France
0753494R;2010;;;;10.90201588006;6409544.03;50282683.98;85.5259932182722;26656398.72;45.3399619053167;20015879.91;34.0450802133258;7747254.85;147.562013566167;20610594.7100001;58792283.01;47.0646343250415;27539623.73;6776039.13;;23691813.26;169.622066654048;COFISUP Comptes financiers;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753494R;Muséum national d'histoire naturelle;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753742K;2010;933689.4;;254.582808801299;12.9632436095574;2377012.7;15948045.43;86.9740401493767;6557449.75;35.7616173303076;6643486.5;36.230826161049;5056283.37;217.818084482344;9649368.63;18336558.13;50.5441974676629;9255524.34;1866249.4;;9774142.09;220.634633118173;COFISUP Comptes financiers;2012;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753742K;École des hautes études en sciences sociales;75106;Paris 6e;A01;Paris;R11;Île-de-France
0811293R;2010;3142815.98;;11.6467477679046;5.50856848173724;366035.85;6278809.38;94.4914315182628;2418929.63;36.4030996399897;3787283.72;56.9958153863578;412516.53;177.049661985439;3087947.44000001;6644845.23;38.6764648542461;2549118.21;366035.85;;6787515.02;389.166999556212;COFISUP Comptes financiers;;A;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0811293R;Institut national universitaire Jean-François Champollion;81004;Albi;A16;Toulouse;R76;Occitanie
0870669E;2010;9340068.16;;;;;126685046.88;101.671778413907;19705458.47;15.8147236508824;104488354.39;83.8577012521197;1875797.17;31.5875033917028;11115734.3000001;124601977.91;13.6149306813199;16248766.96;;;14574421.48;41.416030242069;COFISUP Comptes financiers;2009;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0870669E;Université de Limoges;87085;Limoges;A22;Limoges;R75;Nouvelle-Aquitaine
0870862P;2010;381995.65;;13.5025516651825;2.51928361562883;51579.1599999998;1995786.15;97.480287542371;1333439.55;65.1292578387568;485085.98;23.6930799490581;;241.183285894634;1337084.06;2047374.09;65.7314702072839;452412.3;;;2413099.81;435.275057700946;COFISUP Comptes financiers;;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0870669E;ENSCI LIMOGES;;;;;;
0912266U;2010;226349.89;35206.42;225.661267164742;18.1980185457715;510784.03;2296027.21;81.8019814542285;1294156.31;46.1077072642762;822264.66;29.2953315948671;672979.35;131.682539946903;839851.930000001;2806811.24;100.0;367238.72;409007.23;;804645.51;126.162434982641;COFISUP Comptes financiers;2015;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0912266U;École nationale supérieure d'informatique pour l'industrie et l'entreprise;91228;Évry;A25;Versailles;R11;Île-de-France
0931238R;2010;20935874.41;15591520.48;-0.531933836720035;-0.0714729903579713;;155925469.66;100.071472990358;24631817.28;15.8084644093991;127193188.17;81.6313699247874;2380021.87;94.2844922491284;40837093.7099999;155814104.66;14.5474016678151;14552666.77;;;25245573.23;58.2868621952369;COFISUP Comptes financiers;2010;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0931238R;Université Paris 13 - Paris Nord;93079;Villetaneuse;A24;Créteil;R11;Île-de-France
0940607Z;2010;5078683.5;;24.6184358603957;6.00591620188384;1250292.44;19583197.52;94.0700267451507;10334596.95;49.6433644451569;8505426.16;40.8567429059003;1616118.51;66.2816896921135;3605576.17000002;20817680.4;42.0922264711106;8477448.08;;;9157615.79;168.345423725267;COFISUP Comptes financiers;2011;E;école normale supérieure;GR30;écoles normales supérieures;0940607Z;École normale supérieure de Cachan;94016;Cachan;A24;Créteil;R11;Île-de-France
0951793H;2010;5810345.76;;26.8813665230139;1.25914504486528;1561900.34;122481048.1;98.7395935934179;19561080.97;15.7694044522611;100783716.25;81.2480243901452;3371874.34;53.1607965526546;18086639.11;124044513.09;9.97326191366809;9518420.19;;;31637727.98;92.9905666997636;COFISUP Comptes financiers;2009;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0951793H;Université de Cergy-Pontoise;95127;Cergy;A25;Versailles;R11;Île-de-France
7200664J;2010;7007888.94;;29.5622428913664;4.86635757929877;2071689.15;40499566.96;95.132696251324;7348504.09;17.2614933929057;32809066.75;77.067860614408;2026938.0;75.898354286996;8538473.55999999;42571658.91;24.9099240704219;10533127.5;1458086.86;;10018771.21;89.0566963138708;COFISUP Comptes financiers;2009;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;7200664J;Université de Corse Pasquale Paoli;2B096;Corte;A27;Corse;R94;Corse
0130221V;2011;106995.1;528614.45;279.863171304107;6.15470912133992;299439.88;4555134.02;93.6265566958542;1755331.01;36.0792015352725;2556496.46;52.5464145959289;725515.07;263.158973487239;3329789.98;4865215.79;57.7675053134694;2564035.32;127901.88;;2801175.53;221.381673156567;COFISUP Comptes financiers;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
