UAI,Etablissement,Type,Groupe,PerimEx,Association,Comparable
0694094A,Université de Lyon,Communauté d'universités et établissements,Regroupements,,,TRUE
0312758E,Université fédérale de Toulouse Midi-Pyrénées,Communauté d'universités et établissements,Regroupements,,,TRUE
0755698L,Université Paris Lumières,Communauté d'universités et établissements,Regroupements,,,TRUE
0753480A,Collège de France,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0350095N,École des hautes études en santé publique,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753742K,École des hautes études en sciences sociales,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753489K,École du Louvre,École,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0672678X,École nationale d'administration,École,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753478Y,École nationale des Chartes,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0310143M,École nationale supérieure de formation de l’enseignement agricole,École,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0782019W,École nationale supérieure de paysage,École,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0692459Y,École nationale supérieure des sciences de l'information et des bibliothèques,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753486G,École pratique des hautes études,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753428U,Institut de physique du globe,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0755026F,Institut national d'histoire de l'art,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753488J,Institut national des langues et civilisations orientales,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,FALSE
0754446A,Institut national du patrimoine,École,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0752559Z,"Institut national du sport, de l'expertise et de la performance",Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0922605G,Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés,École,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0811293R,Institut national universitaire Jean-François Champollion,Autre établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,FALSE
0753494R,Muséum national d'histoire naturelle,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753496T,Observatoire de Paris,Grand établissement,Instituts ou écoles nationaux spécialisés et grands établissements (hors écoles d'ingénieurs),,,TRUE
0753431X,Sciences Po,Grand établissement,Instituts d'études politiques,,,TRUE
0130221V,Sciences Po Aix,Autre établissement,Instituts d'études politiques,,,TRUE
0330192E,Sciences Po Bordeaux,Autre établissement,Instituts d'études politiques,,,TRUE
0380134P,Sciences Po Grenoble,Institut d'étude politique,Instituts d'études politiques,,,TRUE
0595876S,Sciences Po Lille,Autre établissement,Instituts d'études politiques,,,TRUE
0690173N,Sciences Po Lyon,Autre établissement,Instituts d'études politiques,,,TRUE
0352317D,Sciences Po Rennes,Autre établissement,Instituts d'études politiques,,,TRUE
