uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region;Capacité d'autofinancement;Charges de fonctionnement décaissables;Produits de fonctionnement encaissables;Résultat net comptable hors SIE;Subventions de la région;Subventions Union Européenne
0593279U;2010;6877405.99;0;0;2741638.83;4236769.06;;5.28326491843056;94.5346749938924;10450010.94;11.318874165207;725339.69;74367045.46;80.5502725722475;1240494.68;5905742.28;70.3803304757978;17062923.74;1454750.1;14433274.57;15.6333251312091;3553289.50000001;;990859.05;18909140.77;77.9955180416217;3684.88;2010;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0593279U;Université de Valenciennes et du Hainaut-Cambrésis;59032;Aulnoy-lez-Valenciennes;A09;Lille;R32;Hauts-de-France;4877709.16;87277972.48;92323766.37;;2077509.02;637938.6
0593559Y;2010;;;;;;9667343.79000003;;;;;;;;;;;21082716.24;;;;;;;11415372.45;;;2011;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0597065J;Université LILLE 1 - SCIENCES TECHNOLOGIES;;;;;;;;;;;;
0593561A;2010;;;;;;;;;;;;;;;;;14183246.89;;;;;;;15394701.12;;;2012;E;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0597065J;Université LILLE 3 - CHARLES-DE-GAULLE;;;;;;;;;;;;
0601223D;2010;;;;;;2103878.75;;;;;;;;;;;10909692.73;;;;;;;8805813.98000001;;;2010;C;université technologique;GR50;écoles d'ingénieurs;0601223D;Université de technologie de Compiègne;60159;Compiègne;A20;Amiens;R32;Hauts-de-France;;;;;;
0630095L;2010;108101.1;0;0;166713.47;22423.06;;8.81143240837858;91.1885675916214;738625.35;48.3478576916494;304546.37;606620.62;39.7072851731668;84971;193868.19;186.767879562788;722748.259999999;32508.73;778668.29;50.9689298829508;;;102665.66;858425.53;221.828712532166;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;ENS CHIMIE CLERMONT-FERRAND;;;;;;;134615.01;1393116.28;1527731.29;;63000;
0631833A;2010;495023.39;0;0;983143.92;224720;;26.3378333220623;73.6621666779377;1312892.42;33.5004954511772;217507;1518237.01;38.740182571329;;1079086.58;;;;1735301.89;44.2789311498686;731132.060000001;;258313.77;;;;2012;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;IFMA CLERMONT FERRAND;;;;;;;1032185.98;2886837.91;3919023.89;;;
0650048Z;2010;872901.7;0;0;119604.75;147966.89;;3.53084226472141;96.4267322612499;2471889.5;43.1220430369098;409067.38;2895129.61;50.5054548918356;449791.79;429892.48;111.68396154029;1714807.93000001;;2636754.73;45.9981123528522;52502.8500000003;;;2299768.5;149.781938963606;350478.49;2011;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0650048Z;École nationale d'ingénieurs de Tarbes;65440;Tarbes;A16;Toulouse;R76;Occitanie;202398.85;5527479.92;5732310.73;;6445.81;
0692437Z;2010;2503871.73;0;0;2794763.47;2483136.84;;4.9324237922927;95.0652429214887;12353295.49;13.2210656752196;73711.82;74010915.2;79.2098894853122;4316364.07;6721400.92;61.3093596351463;15127334.45;4847584.16;18282637.1;19.5669200992541;3962891.75;;951411.92;20662105.38;83.7411543817431;6175.07;2010;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0692437Z;Université Jean Moulin - Lyon 3;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes;4608682.09;88825595.87;93436458.1;;2002854.29;1252.64
0692459Y;2010;166355.23;0;0;10164.25;993484.89;434815.29;23.5049617900563;77.7582473859436;1991899.15;53.7366262877163;10210;774221.24;20.8866184002801;22831.81;982264.51;397.238522826312;3180477.08;117724;1419320.18;38.2898291287861;633021.29;;14479.79;2745661.79;342.930512060237;177961.32;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0692459Y;École nationale supérieure des sciences de l'information et des bibliothèques;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes;871277.5;2882328.08;3706781.18;;58454.5;1845
0694123G;2010;4972243.89;0;0;4423496.81;5099164.31;;2.70569639295073;97.2120037853876;15995997.21;16.4728670609308;881182.82;76775330.66;79.0641432927073;193478.21;3828582.69000003;27.2739511586903;7151671.84999999;;13620269;14.0263140600484;959007.650000033;;90356.45;12891471.07;49.1635186431057;89985.95;2010;A;école normale supérieure;GR30;écoles normales supérieures;0694123G;École normale supérieure de Lyon;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes;2627369.71000003;94397832.24;97105119.29;;983035.98;1609026.49
0720916E;2010;3322283.21;0;0;1315005.33;1066357.51;958192.319999998;18.4286241582521;81.4067944974922;9297736.31;38.1714228663498;668667.92;9737303.45;39.976045262561;1493855.99;5488017.47;200.893107765972;11065271.31;1498773.53;11980903.95;49.1870424959998;1981754.19;;771364.17;10107078.99;183.496857135558;560.67;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0720916E;Le Mans Université;72181;Le Mans;A17;Nantes;R52;Pays de la Loire;4488815.85;19828941.45;24357845.77;;1686587.52;482958.85
0730858L;2010;3497322.07;0;0;629240.28;3521805.72;1500532.26;2.45982455477975;97.5401754452202;15650993.46;46.0558026185934;929937.25;15415851.58;45.3638562549122;632106.61;4345207.46;105.813430419399;9742701.13999999;3138724.67;16442128.82;48.383857644485;;;1148089.88;8242168.88000001;89.5164647623395;22788.21;2011;A;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0730858L;Université de Savoie;73065;Chambéry;A08;Grenoble;R84;Auvergne-Rhône-Alpes;835914.170000001;33146760.26;33982674.43;;2464612.45;1275496.28
0751717J;2010;;;;;;;;;;;;;;;;;17050593.5100001;;;;;;;32607946.6;;;2011;D;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0751717J;Université Paris 1 - Panthéon Sorbonne;75105;Paris 5e;A01;Paris;R11;Île-de-France;;;;;;
0751722P;2010;26649266.77;0;0;14600597.48;9980638.74;1550882.83000003;;102.804197220819;79610610.22;19.5003094814156;23199672.74;331982374.16;81.3177919451337;6209833.46;;18.5074666463984;21576687.4;6362946.04;69139355.77;16.9354164116429;;;1299337.96;20025804.6300003;17.1771924200479;1139715.72;2009;D;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0755890V;Université PARIS 6 - PIERRE ET MARIE CURIE;;;;;;;;419701281.24;408253060.27;;2638853.08;1372099.32
0753480A;2010;7364600.62;0;0;1740705.6;41500;;23.2500448195652;76.1185530036526;6680247.46;57.8343979146298;2000;1759876.74;15.236173850042;274.32;2295074.53;1048.78559061656;25614215.96;13873;2836263.54;24.555017631505;36478.6800000002;;;31169122.97;1276.23375605723;20989.53;2012;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753480A;Collège de France;75105;Paris 5e;A01;Paris;R11;Île-de-France;2685530.73;8792185.77;11550647.54;;;
0753494R;2010;;0;0;7717166.68;1137577.08;;10.90201588006;85.5259932182722;26656398.72;45.3399619053167;4746646.51;20015879.91;34.0450802133258;340.38;7747254.85;147.562013566167;20610594.7100001;8772193.8;27670373.01;47.0646343250415;6776039.13;;21023.17;23691813.26;169.622066654048;1559209.94;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753494R;Muséum national d'histoire naturelle;75105;Paris 5e;A01;Paris;R11;Île-de-France;6409544.03;50282683.98;58792283.01;;1634762.34;1950703.83
0761904G;2010;;0;0;3783938.46;4986141.72;;7.23334115354151;92.648655629504;24943596.02;47.6281907987721;1761899.33;21572689.28;41.1916613886238;1704556.47;3877485.60000001;108.822636876923;14667322.65;1340083.85;20337537.61;38.8332187904911;2376510.56000001;;1128407.48;18868701.31;139.99431798122;71201.33;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0761904G;Université de Rouen;76451;Mont-Saint-Aignan;A21;Rouen;R28;Normandie;3788208.97000001;48521486.94;52371495.96;;3525334.03;1287481.06
0830766G;2010;3278813.89;0;0;484814.89;1210596.62;;5.23580530337687;94.6583762856411;6892403.81;34.4958768220926;82348.36;11150589.29;55.807721840602;;1741958.01;117.831635496707;6190446.59;1429274.63;6288311.91;31.4724498224456;;;;8482709.12000014;161.46355105738;2463.3;2012;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0830766G;Université de Toulon;83062;La Garde;A23;Nice;R93;Provence-Alpes-Côte d'Azur;1046133.27;18913093.78;19980369.96;;681722.97;105738.8
0860073M;2010;3622572.87;0;0;454979.75;1963413.4;2425212.28;17.1389699340222;82.8610300659778;2941338.26;42.7668991251662;1396565.42;2310357.99;33.5924801458747;92832.67;1459400.15;374.044797205889;5921185.34;;4841984.15;70.4021875092679;774092.71;;136571.83;3495973.06;220.842696044531;;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0860073M;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;86062;Chasseneuil-du-Poitou;A13;Poitiers;R75;Nouvelle-Aquitaine;1178750.6;5698854.09;6877604.69;;328234.33;62848.19
0911975C;2010;3578336.19;0;0;242167.96;;;8.57246371989105;91.427536280109;10178604.81;31.6774068978216;1117801.1;17074261.43;53.1377666088886;;3723500.24;156.765925827011;12792776.65;2001251.4;32132064.48;100;1450095.93;;;14418256.8;176.684971363398;31.59;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0911975C;Université d'Évry-Val d'Essonne;91228;Évry;A25;Versailles;R11;Île-de-France;2754509.57;29377554.91;32132064.48;;;
0912266U;2010;226349.89;0;0;56016.48;;35206.42;18.1980185457715;81.8019814542285;1294156.31;46.1077072642762;228726.24;822264.66;29.2953315948671;;672979.35;131.682539946903;839851.930000001;82496;2806811.24;100;409007.23;;;804645.51;126.162434982641;;2015;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0912266U;École nationale supérieure d'informatique pour l'industrie et l'entreprise;91228;Évry;A25;Versailles;R11;Île-de-France;510784.03;2296027.21;2806811.24;;;
0921204J;2010;8113404.3;0;0;2115448.49;715944.08;;11.2322860982689;88.3771462863415;22282680.77;44.2400619928989;1278742.64;21208035.72;42.1064603799202;5800271.34;7657336.75;182.549536578066;22571993.6599999;3797653.12;19752162.36;39.215967608201;3918977.48;;865653.51;22660928.08;183.268787938907;60874.92;2012;D;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0921204J;Université Paris Nanterre;92050;Nanterre;A25;Versailles;R11;Île-de-France;5657438.85000001;44513494.09;50367652.68;;791573.61;437169.47
0940607Z;2010;5078683.5;0;0;1941159.21;1814083.01;;6.00591620188384;94.0700267451507;10334596.95;49.6433644451569;955714.12;8505426.16;40.8567429059003;201382.59;1616118.51;66.2816896921135;3605576.17000002;369183.53;8762625.18;42.0922264711106;;;156851.21;9157615.79;168.345423725267;1115.33;2011;E;école normale supérieure;GR30;écoles normales supérieures;0940607Z;École normale supérieure de Cachan;94016;Cachan;A24;Créteil;R11;Île-de-France;1250292.44;19583197.52;20817680.4;;909790.22;2128168.86
0951793H;2010;5810345.76;0;0;1100174.93;361119.21;;1.25914504486528;98.7395935934179;19561080.97;15.7694044522611;2051040.41;100783716.25;81.2480243901452;2030535.5;3371874.34;53.1607965526546;18086639.11;2094131.18;12371284.18;9.97326191366809;;;1259737.32;31637727.98;92.9905666997636;14258.7;2009;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0951793H;Université de Cergy-Pontoise;95127;Cergy;A25;Versailles;R11;Île-de-France;1561900.34;122481048.1;124044513.09;;367543.2;239879.74
