uai - identifiant;Libellé;sigle;type d'établissement;Secteur d'établissement;Établissements d'enseignement supérieur accrédités à délivrer le doctorat;localisation;Site internet;Géolocalisation;siret;siren;Identifiant wikidata;Elément wikidata;Identifiant ETER;Identifiant ROR;Elément ROR;Identifiant GRID;Elément GRID;Identifiant OrgRef;Identifiant ISNI;Elément ISNI;Identifiant Funding Data;Elément Funding Data;rattachement_identifiants;rattachement;dernier_decret_legifrance;Code commune;Commune;Code unité urbaine;Unité urbaine;Code département;Département;Code académie;Académie;Code région;Région;Ancien code région;Ancienne région;Mention distribution;Adresse;Lieu dit;Boite postale;Code postal;Localité;Pays;Numéro de téléphone;qualification_court;Qualification;compte_facebook;compte_twitter;compte_instagram;compte_flickr;compte_pinterest;flux_rss;compte_linkedin;compte_viadeo;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_youtube;compte_vimeo;compte_dailymotion;compte_googleplus;implantations;mooc;Page Wikipédia en français;Page Wikipédia en anglais;English name;Site internet en anglais;Site internet en chinois;Site internet en espagnol;Site internet en allemand;Site internet en italien;Identifiant interne;Anciens codes uai;Identifiant dataESR;article;universités fusionnées;Vague contractuelle
0352480F;École nationale de la statistique et de l'analyse de l'information;ENSAI;École;Public;Oui;Bretagne>Rennes>Ille-et-Vilaine>Rennes>Bruz;http://www.ensai.fr/;48.050729,-1.741973;13001422800055;130014228;Q3578127;https://www.wikidata.org/entity/Q3578127;FR0068;00k206f19;https://ror.org/00k206f19;grid.499226.2;https://www.grid.ac/institutes/grid.499226.2;;0000 0001 2200 9864;http://isni.org/isni/0000000122009864;;;;;;35047;Bruz;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;R53;Bretagne;;Rue Blaise Pascal;CAMPUS DE KER LANN;BP 37203;35172;BRUZ CEDEX;France;;;;https://fr-fr.facebook.com/Ensai35/;https://twitter.com/ensai35;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_de_la_statistique_et_de_l%27analyse_de_l%27information;;;http://www.ensai.fr/home.html;;;;;XQBTI;;;à l';;
0692566P;École nationale des travaux publics de l'État;ENTPE;École;Public;;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Vaulx-en-Velin;http://www.entpe.fr/;45.7793,4.92245;13000288400018;130002884;Q3578157;https://www.wikidata.org/entity/Q3578157;FR0163;05r0ccb59;https://ror.org/05r0ccb59;grid.462176.0;https://www.grid.ac/institutes/grid.462176.0;31645083;0000 0001 2184 7794;http://isni.org/isni/0000000121847794;;;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000644863&fastPos=1&fastReqId=1097770668&oldAction=rechExpTexteJorf;69256;Vaulx-en-Velin;UU00758;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;3 RUE MAURICE AUDIN;;;69518;VAULX EN VELIN CEDEX;France;0472047070;;;;;;;;http://www.entpe.fr/internet/outils_transversaux/flux_rss;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0692566P;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_des_travaux_publics_de_l%27%C3%89tat;https://en.wikipedia.org/wiki/%C3%89cole_nationale_des_travaux_publics_de_l%27%C3%89tat;;;;;;;56aH3;;;à l';;
0760164R;École nationale supérieure d'architecture de Normandie;ENSAN;École;Public;;Normandie>Seine-Maritime>Rouen>Darnétal;http://www.rouen.archi.fr/;49.43767,1.1373;19760164400028;197601644;Q3578182;https://www.wikidata.org/entity/Q3578182;FR0216;;;;;;;;;;;;;76212;Darnétal;UU00755;Rouen;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;27 rue LUCIEN FROMAGE;;BP 04;76161;DARNETAL CEDEX;France;;;;https://www.facebook.com/%C3%89cole-nationale-sup%C3%A9rieure-darchitecture-de-Normandie-104102103746618/;;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Normandie;;;;;;;;WaB2p;;;à l';;
0751875F;École nationale supérieure d'architecture de Paris-La Villette;ENSAPLV;École;Public;;Île-de-France>Paris>Paris 19e;http://www.paris-lavillette.archi.fr/;48.89325,2.38192;19751875600014;197518756;Q3578185;https://www.wikidata.org/entity/Q3578185;FR0182;;;;;;;;;;;;;75119;Paris 19e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;144  RUE DE FLANDRE;;;75019;PARIS;France;;;;https://www.facebook.com/La-Salle-dExpo-ENSAPLV-246558815401564/;https://twitter.com/ENSAPLV;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-La_Villette;;;http://www.paris-lavillette.archi.fr/index.php?page=foreign-exchange-students;;;;;4i3C4;;;à l';;
0951310H;École nationale supérieure d'arts de Paris-Cergy;ENSAPC;École;Public;;Île-de-France>Versailles>Val-d'Oise>Paris>Cergy;http://www.ensapc.fr/fr/;49.03643,2.07795;18009240500018;180092405;Q3578196;https://www.wikidata.org/entity/Q3578196;FR0322;;;;;;;;;;;;;95127;Cergy;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;2  RUE DES ITALIENS;;;95000;CERGY;France;;;;https://www.facebook.com/Ensapc/;https://twitter.com/ensapc;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d'arts_de_Paris-Cergy;;;http://www.ensapc.fr/en/;;;;;3xQrL;;;à l';;
0350077U;École nationale supérieure de chimie de Rennes;ENS Chimie Rennes;École;Public;Oui;Bretagne>Rennes>Ille-et-Vilaine>Rennes;http://www.ensc-rennes.fr/;48.1146,-1.6568;19350077400016;193500774;Q3578223;https://www.wikidata.org/entity/Q3578223;FR0057;;;;;;;;;;0350936C;Université de Rennes 1;;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;R53;Bretagne;;11 ALLÉE DE BEAULIEU;;;35708;RENNES CEDEX 7;France;0223238000;;;https://www.facebook.com/pages/Ecole-nationale-sup%C3%A9rieure-de-chimie-de-Rennes-ENSCR/106800626112738;https://twitter.com/ENSCR;;;;http://www.ensc-rennes.fr/themes/bas-de-page/rss/;https://www.linkedin.com/groups/ENSCR-%C3%A9cole-nationale-sup%C3%A9rieur-chimie-4292031/about;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0350077U;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_chimie_de_Rennes;;;;;;;;kFcnq;;;à l';;Vague B
0310143M;École nationale supérieure de formation de l’enseignement agricole;ENSFEA;École;Public;;Occitanie>Toulouse>Haute-Garonne>Toulouse>Castanet-Tolosan;http://www.ensfea.fr/;43.534875,1.486908;19310143300012;193101433;Q3578119;https://www.wikidata.org/entity/Q3578119;;;;;;;;;;;;;;31113;Castanet-Tolosan;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;2 route de Narbonne;AUZEVILLE-TOLOSANE;BP 82687;31326;CASTANET TOLOSAN CEDEX;France;;;;https://www.facebook.com/ensfea.toulouse;https://twitter.com/ENSFEA_Toulouse;;;;;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_formation_de_l%E2%80%99enseignement_agricole;;;;;;;;ZCWyO;;;à l';;
0753470P;École nationale supérieure des arts décoratifs;ÉnsAD-Paris;École;Public;;Île-de-France>Paris>Paris 5e;https://www.ensad.fr/;48.84278,2.34466;19753470400014;197534704;Q1135990;https://www.wikidata.org/entity/Q1135990;FR0192;05xsxn838;https://ror.org/05xsxn838;grid.466438.b;https://www.grid.ac/institutes/grid.466438.b;;0000 0001 2153 8094;http://isni.org/isni/0000000121538094;;;;;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;31  RUE D'ULM;;;75005;PARIS;France;;;;https://www.facebook.com/Ensad75;https://twitter.com/Ecole_ArtsDeco;https://www.instagram.com/ensadparis/;;;;;;;;;;;https://vimeo.com/ensad;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_d%C3%A9coratifs;https://en.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_d%C3%A9coratifs;;https://www.ensad.fr/en;;https://www.ensad.fr/es;;;Rnid8;;;à l';;
0693735K;École nationale supérieure des arts et techniques du théâtre;ENSATT;École;Public;;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 5e;http://www.ensatt.fr/;45.7535,4.81245;19750773400022;197507734;Q3578242;https://www.wikidata.org/entity/Q3578242;;;;;;;;;;;;;;69385;Lyon 5e;UU00758;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;4 RUE SOEUR BOUVIER;;;69322;LYON CEDEX 05;France;0478150505;;;https://www.facebook.com/ensatt.lyon/;https://twitter.com/Ensatt;;;;;;;;;;;;;;;https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-implantations_etablissements_d_enseignement_superieur_publics/map/?disjunctive.bcnag_n_nature_uai_libelle_editi&disjunctive.services&disjunctive.type_uai&disjunctive.nature_uai&refine.etablissement_uai=0693735K;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_et_techniques_du_th%C3%A9%C3%A2tre;;;;;;;;zHvr4;;;à l';;Vague A
0330203S;École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine;Bordeaux Sciences Agro;École;Public;;Nouvelle-Aquitaine>Bordeaux>Gironde>Bordeaux>Gradignan;https://www.agro-bordeaux.fr/;44.792718,-0.608576;19330203100011;193302031;Q3578255;https://www.wikidata.org/entity/Q3578255;FR0043;00har9915;https://ror.org/00har9915;grid.434203.2;https://www.grid.ac/institutes/grid.434203.2;;0000 0001 0659 4135;http://isni.org/isni/0000000106594135;;;;;;33192;Gradignan;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R75;Nouvelle-Aquitaine;R72;Aquitaine;;1  COURS DU GL DE GAULLE;;BP 201;33175;GRADIGNAN CEDEX;France;;;;https://www.facebook.com/AgroBordeaux/;https://www.agro-bordeaux.fr/;;;;;https://www.linkedin.com/school/bordeaux-sciences-agro/;;;;;;https://www.youtube.com/channel/UCqve8viWhfhf1IweAHCuQzg;;;;;;https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_agronomiques_de_Bordeaux_Aquitaine;;;https://study.agro-bordeaux.fr/;;;;;lfdJH;;;à l';;
